"","grouporder","description","measure","total"
"1",1,"Anaheim chile peppers (medium)","item",3
"2",1,"Apples","item",NA
"3",1,"Bananas ","item",NA
"4",1,"Carrot chips","item",1
"5",1,"chopped fresh cilantro leaves","tablespoons ",2
"6",1,"cloves garlic","medium ",6
"7",1,"fresh cilantro leaves","cup minced ",0.25
"8",1,"Fresh green beans","pound",1.5
"9",1,"fresh lime juice (from 2 to 3 limes)","tablespoons ",3
"10",1,"green pepper(s)","strip(s) ",1
"11",1,"onions","medium ",2
"12",1,"Pineapple","item",1
"13",1,"poblano chiles (medium)","item",3
"14",1,"Salad mix","item",NA
"15",1,"scallions","item",4
"16",1,"spaghetti ","pound",1
"17",1,"spaghetti sauce","jar",1
"18",1,"yukon gold potatoes","item",1
"19",1,"yukon gold potatoes","pound",2
"20",2,"corn kernels","cup ",1
"21",2,"frozen green beans","item",1
"22",2,"frozen potatoes o'brien","oz ",16
"23",2,"peas","pound",1
"24",3,"Cider","box",1
"25",3,"Coffee","bag",1
"26",3,"italian bread","loaf",1
"27",3,"Peanut butter","jar",1
"28",3,"Whole wheat bread","loaf",1
"29",3,"Whole wheat sandwhich bread","loaf",1
"30",4,"canned black beans","cup ",1
"31",4,"cannellini beans","(14.5-ounce) cans ",2
"32",4,"fat-free evaporated milk","cup(s) ",1
"33",4,"Fruit cocktail","cans",3
"34",4,"jalapeño chiles","medium ",3
"35",4,"low-sodium chicken broth","cups ",3
"36",4,"Old El Paso™ mild enchilada sauce","cup ",1
"37",4,"Old El Paso™ taco seasoning mix","teaspoons ",2
"38",4,"Pizza sauce",NA,1
"39",4,"tomato sauce","cup ",0.5
"40",5,"Applesauce pouches","item",1
"41",5,"Cheese its","item",1
"42",5,"Cookies","package",1
"43",5,"Ritz crackers","item",1
"44",6,"Cereal bars","box",2
"45",6,"Oatmeal","box",2
"46",7,"black pepper","tsp ",0.25
"47",7,"bread flour",NA,1
"48",7,"cooking spray","spray(s) ",1
"49",7,"Dried crannberries","package",1
"50",7,"ground coriander","teaspoons ",1.5
"51",7,"ground cumin","tablespoon ",1
"52",7,"olive oil","tablespoon ",1
"53",7,"table salt","tsp ",0.5
"54",7,"vegetable oil","tablespoon ",1
"55",7,"yeast",NA,1
"56",9,"Chlorox wipes","item",2
"57",9,"Dish soap","item",1
"58",9,"Dish washer soap","item",1
"59",9,"Hand soap","item",1
"60",10,"Baby pouches","items",3
"61",12,"Almond milk","container",1
"62",12,"Coffee creamer","bottle",1
"63",12,"English muffins","item",1
"64",12,"fat-free skim milk","cup(s) ",0.75
"65",12,"Mexican blend cheese","cup",1
"66",12,"Milk","container",1
"67",12,"Mozzarella cheese",NA,1
"68",12,"Reduced fat cressent rolls","package",1
"69",12,"refrigerated buttermilk biscuits","(7.5-ounce) tube ",1
"70",12,"String cheese","item",1
"71",13,"American cheese","package",1
"72",13,"bacon","item",1
"73",13,"Ball Park Turkey Hot Dogs","item",4
"74",13,"bone-in","pounds ",3
"75",13,"Cold meat ","pound",1
"76",13,"ground beef","pound ",1
"77",13,"Hot Dogs","item",4
"78",13,"italian sausage","pound",1
"79",13,"Pepperoni",NA,1
"80",13,"pork tenderloin","item",1
"81",13,"uncooked Canadian-style bacon","oz",6
